timestamp,station_code,weather_type,severity,temperature,humidity,wind_speed,visibility_km
2025-09-01 00:00:00,HZP,Clear,low,42,37,12,10
2025-09-01 00:00:00,SCB,Heavy_Rain,medium,34,33,15,1
2025-09-01 00:00:00,CPX,Light_Rain,medium,16,80,14,7
2025-09-01 00:00:00,MRT,Clear,low,36,72,8,10
2025-09-01 00:00:00,ARY,Light_Rain,medium,31,35,11,3
2025-09-01 00:00:00,AJM,Clear,low,20,38,14,10
2025-09-01 00:00:00,OZR,Heatwave,medium,46,85,20,6
2025-09-01 00:00:00,KXK,Clear,low,15,33,9,10
2025-09-01 00:00:00,UOI,Dense_Fog,low,16,36,7,4
2025-09-01 00:00:00,QOU,Clear,low,45,46,5,10
2025-09-01 00:00:00,FMG,Light_Rain,medium,41,68,13,8
2025-09-01 00:00:00,MKC,Clear,low,18,41,20,10
2025-09-01 00:00:00,JDC,Clear,low,28,68,25,10
2025-09-01 00:00:00,QXH,Light_Rain,medium,31,66,21,1
2025-09-01 00:00:00,XWW,Dense_Fog,medium,39,56,6,2
2025-09-01 00:00:00,HVR,Dense_Fog,high,37,74,12,1
2025-09-01 00:00:00,KYU,Clear,low,22,57,25,10
2025-09-01 00:00:00,IXO,Clear,low,17,33,15,10
2025-09-01 00:00:00,DXE,Light_Rain,low,44,76,14,5
2025-09-01 00:00:00,XFE,Light_Rain,low,26,70,18,5
2025-09-01 00:00:00,TZU,Clear,low,32,85,22,10
2025-09-01 00:00:00,RXK,Clear,low,35,80,11,10
2025-09-01 00:00:00,VPP,Clear,low,23,82,5,10
2025-09-01 00:00:00,OAR,Clear,low,33,41,25,10
2025-09-01 00:00:00,XUT,Clear,low,28,76,18,10
2025-09-01 00:00:00,KOK,Clear,low,24,63,16,10
2025-09-01 00:00:00,MDV,Clear,low,33,64,20,10
2025-09-01 00:00:00,CES,Clear,low,43,69,23,10
2025-09-01 00:00:00,MDS,Light_Rain,medium,25,78,7,2
2025-09-01 00:00:00,ZPK,Light_Rain,low,43,70,21,3
2025-09-01 00:00:00,IEX,Light_Rain,high,41,41,18,5
2025-09-01 00:00:00,SFZ,Clear,low,15,55,9,10
2025-09-01 00:00:00,PBH,Light_Rain,low,45,84,6,5
2025-09-01 00:00:00,DBZ,Clear,low,28,64,13,10
2025-09-01 00:00:00,XVD,Clear,low,34,74,16,10
2025-09-01 00:00:00,KPU,Dense_Fog,low,35,62,13,2
2025-09-01 00:00:00,ESS,Dense_Fog,low,41,88,12,8
2025-09-01 00:00:00,UKW,Clear,low,20,44,17,10
